"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-09-17T11:35:18","false","",""
"2","1","file:/data/krp-0164_a/","/data/krp-0164_a","krp-0164_a","","Done","","Folder","","2026-09-17T11:32:29","false","",""
"3","2","file:/data/krp-0164_a/krp-0164_a01/","/data/krp-0164_a/krp-0164_a01","krp-0164_a01","","Done","","Folder","","2026-09-17T13:28:59","false","",""
"4","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0001.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0001.TIF","krp-0164_a01-0001.TIF","Signature","Done","17318508","File","tif","2026-09-17T13:28:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"5","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0002.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0002.TIF","krp-0164_a01-0002.TIF","Signature","Done","15887372","File","tif","2026-09-17T13:28:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0003.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0003.TIF","krp-0164_a01-0003.TIF","Signature","Done","18845636","File","tif","2026-09-17T13:28:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0004.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0004.TIF","krp-0164_a01-0004.TIF","Signature","Done","20469630","File","tif","2026-09-17T13:28:33","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0005.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0005.TIF","krp-0164_a01-0005.TIF","Signature","Done","19121182","File","tif","2026-09-17T13:28:36","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0006.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0006.TIF","krp-0164_a01-0006.TIF","Signature","Done","16617724","File","tif","2026-09-17T13:28:38","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","3","file:/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0007.TIF","/data/krp-0164_a/krp-0164_a01/krp-0164_a01-0007.TIF","krp-0164_a01-0007.TIF","Signature","Done","19008130","File","tif","2026-09-17T13:28:42","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
